County,Short Birth Spacing % 2018,Short Birth Spacing % 2024,Δ 2018→2024,Slope (%/yr),p-value,Years of data
Taliaferro,-5.0,-5.0,0.0,-3.15,0.66,7
Stewart,31.25,-5.0,-36.25,-4.7,0.35,7
Baker,38.1,-5.0,-43.1,-6.07,0.11,7
Webster,-5.0,-5.0,0.0,0.91,0.85,7
Glascock,35.0,-5.0,-40.0,-6.43,0.17,7
Quitman,-5.0,0.0,5.0,2.11,0.71,7
Pierce,26.52,18.57,-7.95,-0.57,0.47,7
Harris,23.21,18.85,-4.37,-1.01,0.08,7
Fannin,21.93,19.17,-2.76,-0.68,0.48,7
Putnam,19.08,19.55,0.46,0.24,0.72,7
Butts,24.36,19.58,-4.78,-1.11,0.07,7
Dade,25.0,19.64,-5.36,-1.91,0.05,7
Forsyth,18.55,19.75,1.2,0.17,0.05,7
Long,25.82,20.09,-5.73,-0.45,0.45,7
Wilkes,20.63,20.31,-0.32,0.05,0.92,7
Lee,16.44,20.83,4.39,1.22,0.09,7
Gwinnett,21.08,20.95,-0.13,-0.05,0.7,7
Madison,24.73,21.08,-3.65,-0.15,0.86,7
Walker,27.3,21.14,-6.16,-0.38,0.59,7
McDuffie,21.3,21.32,0.02,0.05,0.96,7
Monroe,23.93,21.35,-2.58,-0.85,0.28,7
Troup,26.88,21.4,-5.48,-0.51,0.25,7
Schley,29.63,21.43,-8.2,-2.84,0.24,7
Lincoln,27.45,21.43,-6.02,-0.53,0.7,7
Bryan,22.64,21.43,-1.21,0.28,0.5,7
Chatham,23.19,21.63,-1.56,0.1,0.76,7
Jones,22.35,21.64,-0.72,0.24,0.69,7
Early,21.62,21.88,0.25,0.11,0.93,7
Peach,20.23,21.91,1.68,0.27,0.73,7
Columbia,21.33,22.05,0.72,0.27,0.13,7
Heard,19.54,22.37,2.83,-0.28,0.86,7
Oconee,19.2,22.4,3.21,0.92,0.11,7
Fayette,23.67,22.41,-1.26,-0.25,0.16,7
Effingham,23.24,22.43,-0.81,0.08,0.81,7
Wilcox,31.71,22.45,-9.26,1.07,0.6,7
DeKalb,24.06,22.5,-1.56,-0.28,0.26,7
Rockdale,24.04,22.66,-1.38,0.23,0.66,7
Clarke,29.42,22.7,-6.72,-0.51,0.26,7
Colquitt,24.4,22.89,-1.51,0.29,0.67,7
Crawford,25.33,22.95,-2.38,0.06,0.92,7
Whitfield,23.54,23.07,-0.47,-0.17,0.54,7
Montgomery,22.95,23.08,0.13,-0.32,0.76,7
Dooly,32.26,23.08,-9.18,-1.59,0.02,7
Paulding,21.82,23.12,1.3,0.18,0.23,7
Union,26.79,23.28,-3.51,0.07,0.93,7
Henry,23.32,23.28,-0.04,0.08,0.71,7
Douglas,24.9,23.36,-1.54,0.06,0.91,7
Cobb,22.97,23.69,0.72,0.07,0.76,7
Newton,24.16,23.78,-0.38,0.09,0.47,7
Coffee,29.6,23.88,-5.72,-0.06,0.93,7
Baldwin,19.17,23.95,4.78,0.61,0.4,7
Lamar,23.44,24.03,0.59,0.31,0.51,7
Lanier,21.74,24.05,2.31,0.81,0.33,7
Murray,22.58,24.15,1.57,-0.07,0.93,7
Banks,29.63,24.16,-5.47,-0.8,0.35,7
Camden,22.37,24.17,1.8,-0.02,0.97,7
Bulloch,25.23,24.17,-1.05,-0.28,0.07,7
Ware,32.47,24.22,-8.25,-0.83,0.18,7
Walton,22.0,24.5,2.5,0.31,0.35,7
Fulton,23.6,24.5,0.91,0.08,0.7,7
Houston,23.78,24.53,0.74,0.09,0.5,7
Telfair,28.57,24.53,-4.04,-1.17,0.29,7
Screven,23.97,24.53,0.56,-0.09,0.93,7
Seminole,22.22,24.53,2.31,0.32,0.54,7
Morgan,24.41,24.55,0.14,-0.36,0.59,7
Clayton,24.6,24.55,-0.05,-0.23,0.42,7
Atkinson,17.57,24.62,7.05,1.37,0.22,7
Gordon,25.69,24.68,-1.01,-0.18,0.74,7
Jasper,22.22,24.73,2.51,0.89,0.38,7
Jeff Davis,36.04,24.75,-11.28,-0.5,0.69,7
Glynn,29.33,24.96,-4.37,-0.33,0.38,7
Haralson,21.72,25.0,3.28,0.25,0.59,7
Treutlen,19.57,25.0,5.43,1.47,0.11,7
Jenkins,24.56,25.0,0.44,0.24,0.78,7
Dougherty,25.66,25.08,-0.58,0.13,0.7,7
Barrow,26.92,25.12,-1.8,0.18,0.72,7
Upson,28.49,25.14,-3.35,-0.23,0.59,7
Tattnall,27.04,25.17,-1.88,0.25,0.64,7
Dawson,24.49,25.2,0.71,0.61,0.5,7
Greene,21.5,25.26,3.77,0.5,0.67,7
Appling,27.66,25.35,-2.31,0.11,0.84,7
Hart,24.0,25.36,1.36,-0.23,0.75,7
Stephens,22.66,25.42,2.76,0.53,0.35,7
Oglethorpe,25.26,25.49,0.23,0.77,0.6,7
Hall,22.3,25.67,3.37,0.24,0.32,7
Brooks,30.77,25.69,-5.08,-0.32,0.72,7
Spalding,26.95,25.75,-1.2,-0.12,0.53,7
Bacon,34.07,25.81,-8.26,-1.47,0.12,7
Toombs,19.13,25.88,6.75,0.82,0.17,7
Coweta,21.4,25.95,4.55,0.8,0.01,7
Laurens,27.3,26.02,-1.28,-0.05,0.9,7
Macon,19.4,26.09,6.68,1.39,0.09,7
Meriwether,23.45,26.15,2.71,0.31,0.73,7
Marion,20.63,26.19,5.56,-0.42,0.74,7
Cherokee,21.8,26.34,4.54,0.72,0.01,7
Polk,26.74,26.42,-0.32,0.09,0.52,7
Worth,23.97,26.5,2.52,1.14,0.11,7
Thomas,25.71,26.57,0.86,0.49,0.23,7
Pickens,24.71,26.63,1.92,0.52,0.16,7
Muscogee,26.02,26.63,0.62,-0.08,0.6,7
Gilmer,28.04,26.73,-1.3,-0.03,0.96,7
Carroll,23.31,26.94,3.63,0.35,0.17,7
Elbert,20.93,27.0,6.07,1.33,0.01,7
Berrien,28.38,27.01,-1.37,-0.09,0.84,7
Ben Hill,22.13,27.03,4.9,0.75,0.11,7
Bartow,25.35,27.05,1.7,0.29,0.14,7
Sumter,19.91,27.09,7.18,0.92,0.06,7
Richmond,28.16,27.18,-0.98,-0.12,0.64,7
Catoosa,28.7,27.27,-1.43,-0.18,0.73,7
Burke,22.28,27.33,5.05,0.38,0.29,7
Lowndes,24.35,27.38,3.02,0.69,0.03,7
Pulaski,24.29,27.66,3.37,0.72,0.64,7
Habersham,25.75,27.73,1.98,-0.02,0.98,7
Bibb,29.17,27.78,-1.4,-0.27,0.35,7
Grady,26.4,27.84,1.44,0.48,0.28,7
Wayne,26.5,27.91,1.41,-0.11,0.85,7
Decatur,30.96,27.93,-3.03,-0.54,0.29,7
Cook,25.55,27.94,2.39,1.09,0.08,7
Evans,28.92,27.96,-0.96,0.37,0.58,7
Terrell,21.13,28.0,6.87,1.84,0.16,7
Lumpkin,35.12,28.06,-7.06,-1.04,0.33,7
Washington,23.08,28.07,4.99,0.92,0.06,7
Echols,-5.0,28.12,33.12,4.11,0.04,7
Clinch,25.0,28.26,3.26,1.15,0.44,7
Pike,16.54,28.44,11.9,1.13,0.19,7
Rabun,19.51,28.57,9.06,0.9,0.42,7
Floyd,26.22,28.59,2.37,0.57,0.04,7
Crisp,27.54,28.79,1.24,0.34,0.63,7
Twiggs,26.53,28.95,2.42,-1.39,0.63,7
Emanuel,25.6,29.17,3.56,0.1,0.88,7
Taylor,31.48,29.73,-1.75,-0.74,0.34,7
Liberty,27.68,29.81,2.12,0.63,0.07,7
Franklin,26.25,29.87,3.62,1.08,0.17,7
Jackson,22.81,30.13,7.31,0.88,0.05,7
Bleckley,24.68,30.26,5.59,0.65,0.39,7
Mitchell,30.94,30.53,-0.4,0.09,0.94,7
Candler,34.25,30.67,-3.58,-0.53,0.61,7
Turner,26.39,30.77,4.38,0.59,0.14,7
Wheeler,27.66,31.03,3.37,-0.12,0.97,7
Johnson,25.0,31.25,6.25,1.53,0.19,7
Chattooga,21.51,31.58,10.07,0.56,0.47,7
Tift,24.84,31.79,6.95,0.98,0.03,7
Hancock,-5.0,32.26,37.26,5.61,0.05,7
White,21.02,32.53,11.51,1.24,0.1,7
Miller,-5.0,32.56,37.56,4.05,0.13,7
Chattahoochee,28.89,32.89,4.01,1.87,0.13,7
Warren,15.15,33.33,18.18,1.9,0.24,7
McIntosh,27.66,33.33,5.67,0.26,0.82,7
Wilkinson,27.12,33.93,6.81,0.98,0.18,7
Calhoun,25.0,34.48,9.48,1.31,0.24,7
Irwin,26.09,34.62,8.53,1.44,0.02,7
Brantley,29.45,36.89,7.43,1.57,0.04,7
Jefferson,27.97,37.04,9.07,1.21,0.24,7
Charlton,18.67,37.29,18.62,2.4,0.09,7
Dodge,22.22,38.32,16.1,1.6,0.17,7
Randolph,44.83,41.46,-3.36,-2.8,0.42,7
Clay,-5.0,46.15,51.15,5.84,0.1,7
Talbot,30.0,48.15,18.15,5.26,0.3,7
Towns,20.0,51.35,31.35,4.31,0.08,7
